question,answer
"What was the total budget for the trip to Rome, Italy?",1300.0 € (Transport: 400 € + Accommodation: 900 €)
What is the destination of the trip starting on 20/07/2022?,"Bali, Indonesia"
"When did the trip to Bali, Indonesia start?",20/07/2022
"How long was the trip to Bali, Indonesia?",10.0 days
"What nationality was the traveler to Bali, Indonesia?",Korean
"What type of accommodation was used in Bali, Indonesia?",Hostel
"How much did the accommodation cost in Bali, Indonesia?",500 €
"What transportation was used to reach Bali, Indonesia?",Plane
"What was the transportation cost to Bali, Indonesia?",800 €
"What was the total budget for the trip to Bali, Indonesia?",1300.0 € (Transport: 800 € + Accommodation: 500 €)
What is the destination of the trip starting on 08/08/2022?,"Cancun, Mexico"
"When did the trip to Cancun, Mexico start?",08/08/2022
"How long was the trip to Cancun, Mexico?",8.0 days
"What nationality was the traveler to Cancun, Mexico?",American
"What type of accommodation was used in Cancun, Mexico?",Hotel
"How much did the accommodation cost in Cancun, Mexico?",1300 €
"What transportation was used to reach Cancun, Mexico?",Plane
"What was the transportation cost to Cancun, Mexico?",600 €
"What was the total budget for the trip to Cancun, Mexico?",1900.0 € (Transport: 600 € + Accommodation: 1300 €)
What is the destination of the trip starting on 20/09/2022?,"Athens, Greece"
"When did the trip to Athens, Greece start?",20/09/2022
"How long was the trip to Athens, Greece?",10.0 days
"What nationality was the traveler to Athens, Greece?",Korean
"What type of accommodation was used in Athens, Greece?",Airbnb
"How much did the accommodation cost in Athens, Greece?",700 €
"What transportation was used to reach Athens, Greece?",Plane
"What was the transportation cost to Athens, Greece?",900 €
"What was the total budget for the trip to Athens, Greece?",1600.0 € (Transport: 900 € + Accommodation: 700 €)
What is the destination of the trip starting on 05/10/2022?,"Tokyo, Japan"
"When did the trip to Tokyo, Japan start?",05/10/2022
"How long was the trip to Tokyo, Japan?",8.0 days
"What nationality was the traveler to Tokyo, Japan?",Korean
"What type of accommodation was used in Tokyo, Japan?",Hotel
"How much did the accommodation cost in Tokyo, Japan?",1200 €
"What transportation was used to reach Tokyo, Japan?",Plane
"What was the transportation cost to Tokyo, Japan?",700 €
"What was the total budget for the trip to Tokyo, Japan?",1900.0 € (Transport: 700 € + Accommodation: 1200 €)
What is the destination of the trip starting on 11/11/2022?,"Sydney, Aus"
"When did the trip to Sydney, Aus start?",11/11/2022
"How long was the trip to Sydney, Aus?",10.0 days
"What nationality was the traveler to Sydney, Aus?",Chinese
"What type of accommodation was used in Sydney, Aus?",Airbnb
"How much did the accommodation cost in Sydney, Aus?",900 €
"What transportation was used to reach Sydney, Aus?",Plane
"What was the transportation cost to Sydney, Aus?",1000 €
"What was the total budget for the trip to Sydney, Aus?",1900.0 € (Transport: 1000 € + Accommodation: 900 €)
What is the destination of the trip starting on 24/12/2022?,"Paris, France"
"When did the trip to Paris, France start?",24/12/2022
"How long was the trip to Paris, France?",8.0 days
"What nationality was the traveler to Paris, France?",American
"What type of accommodation was used in Paris, France?",Hostel
"How much did the accommodation cost in Paris, France?",400 €
"What transportation was used to reach Paris, France?",Plane
"What was the transportation cost to Paris, France?",700 €
"What was the total budget for the trip to Paris, France?",1100.0 € (Transport: 700 € + Accommodation: 400 €)
What is the destination of the trip starting on 10/02/2023?,"Bali, Indonesia"
"When did the trip to Bali, Indonesia start?",10/02/2023
"How long was the trip to Bali, Indonesia?",8.0 days
"What nationality was the traveler to Bali, Indonesia?",Canadian
"What type of accommodation was used in Bali, Indonesia?",Hotel
"How much did the accommodation cost in Bali, Indonesia?",800 €
"What transportation was used to reach Bali, Indonesia?",Plane
"What was the transportation cost to Bali, Indonesia?",800 €
"What was the total budget for the trip to Bali, Indonesia?",1600.0 € (Transport: 800 € + Accommodation: 800 €)
What is the destination of the trip starting on nan?,
When did the trip to nan start?,
How long was the trip to nan?,nan days
What nationality was the traveler to nan?,
What type of accommodation was used in nan?,
How much did the accommodation cost in nan?,nan €
What transportation was used to reach nan?,
What was the transportation cost to nan?,nan €
What was the total budget for the trip to nan?,nan € (Transport: nan € + Accommodation: nan €)
What is the destination of the trip starting on 01/05/2023?,"Paris, France"
"When did the trip to Paris, France start?",01/05/2023
"How long was the trip to Paris, France?",6.0 days
"What nationality was the traveler to Paris, France?",American
"What type of accommodation was used in Paris, France?",Hotel
"How much did the accommodation cost in Paris, France?",5000 €
"What transportation was used to reach Paris, France?",Airplane
"What was the transportation cost to Paris, France?",2500 €
"What was the total budget for the trip to Paris, France?",7500.0 € (Transport: 2500 € + Accommodation: 5000 €)
What is the destination of the trip starting on 15/05/2023?,"Tokyo, Japan"
"When did the trip to Tokyo, Japan start?",15/05/2023
"How long was the trip to Tokyo, Japan?",7.0 days
"What nationality was the traveler to Tokyo, Japan?",British
"What type of accommodation was used in Tokyo, Japan?",Airbnb
"How much did the accommodation cost in Tokyo, Japan?",7000 €
"What transportation was used to reach Tokyo, Japan?",Train
"What was the transportation cost to Tokyo, Japan?",1500 €
"What was the total budget for the trip to Tokyo, Japan?",8500.0 € (Transport: 1500 € + Accommodation: 7000 €)
What is the destination of the trip starting on 01/06/2023?,"Cape Town, South Africa"
"When did the trip to Cape Town, South Africa start?",01/06/2023
"How long was the trip to Cape Town, South Africa?",9.0 days
"What nationality was the traveler to Cape Town, South Africa?",South African
"What type of accommodation was used in Cape Town, South Africa?",Hostel
"How much did the accommodation cost in Cape Town, South Africa?",3000 €
"What transportation was used to reach Cape Town, South Africa?",Car
"What was the transportation cost to Cape Town, South Africa?",2000 €
"What was the total budget for the trip to Cape Town, South Africa?",5000.0 € (Transport: 2000 € + Accommodation: 3000 €)
What is the destination of the trip starting on 15/06/2023?,"Sydney, Australia"
"When did the trip to Sydney, Australia start?",15/06/2023
"How long was the trip to Sydney, Australia?",6.0 days
"What nationality was the traveler to Sydney, Australia?",Australian
"What type of accommodation was used in Sydney, Australia?",Hotel
"How much did the accommodation cost in Sydney, Australia?",6000 €
"What transportation was used to reach Sydney, Australia?",Airplane
"What was the transportation cost to Sydney, Australia?",3000 €
"What was the total budget for the trip to Sydney, Australia?",9000.0 € (Transport: 3000 € + Accommodation: 6000 €)
What is the destination of the trip starting on 01/07/2023?,"Rome, Italy"
"When did the trip to Rome, Italy start?",01/07/2023
"How long was the trip to Rome, Italy?",7.0 days
"What nationality was the traveler to Rome, Italy?",Korean
"What type of accommodation was used in Rome, Italy?",Airbnb
"How much did the accommodation cost in Rome, Italy?",4000 €
"What transportation was used to reach Rome, Italy?",Train
"What was the transportation cost to Rome, Italy?",1500 €
"What was the total budget for the trip to Rome, Italy?",5500.0 € (Transport: 1500 € + Accommodation: 4000 €)
What is the destination of the trip starting on 15/07/2023?,"New York City, USA"
"When did the trip to New York City, USA start?",15/07/2023
"How long was the trip to New York City, USA?",7.0 days
"What nationality was the traveler to New York City, USA?",American
"What type of accommodation was used in New York City, USA?",Hotel
"How much did the accommodation cost in New York City, USA?",8000 €
"What transportation was used to reach New York City, USA?",Airplane
"What was the transportation cost to New York City, USA?",2500 €
"What was the total budget for the trip to New York City, USA?",10500.0 € (Transport: 2500 € + Accommodation: 8000 €)
What is the destination of the trip starting on 01/08/2023?,"Rio de Janeiro, Brazil"
"When did the trip to Rio de Janeiro, Brazil start?",01/08/2023
"How long was the trip to Rio de Janeiro, Brazil?",9.0 days
"What nationality was the traveler to Rio de Janeiro, Brazil?",Brazilian
"What type of accommodation was used in Rio de Janeiro, Brazil?",Hostel
"How much did the accommodation cost in Rio de Janeiro, Brazil?",2500 €
"What transportation was used to reach Rio de Janeiro, Brazil?",Car
"What was the transportation cost to Rio de Janeiro, Brazil?",2000 €
"What was the total budget for the trip to Rio de Janeiro, Brazil?",4500.0 € (Transport: 2000 € + Accommodation: 2500 €)
What is the destination of the trip starting on 15/08/2023?,"Vancouver, Canada"
"When did the trip to Vancouver, Canada start?",15/08/2023
"How long was the trip to Vancouver, Canada?",6.0 days
"What nationality was the traveler to Vancouver, Canada?",Canadian
"What type of accommodation was used in Vancouver, Canada?",Hotel
"How much did the accommodation cost in Vancouver, Canada?",5000 €
"What transportation was used to reach Vancouver, Canada?",Airplane
"What was the transportation cost to Vancouver, Canada?",3000 €
"What was the total budget for the trip to Vancouver, Canada?",8000.0 € (Transport: 3000 € + Accommodation: 5000 €)
What is the destination of the trip starting on 01/09/2023?,"Bangkok, Thailand"
"When did the trip to Bangkok, Thailand start?",01/09/2023
"How long was the trip to Bangkok, Thailand?",7.0 days
"What nationality was the traveler to Bangkok, Thailand?",Chinese
"What type of accommodation was used in Bangkok, Thailand?",Hostel
"How much did the accommodation cost in Bangkok, Thailand?",2000 €
"What transportation was used to reach Bangkok, Thailand?",Train
"What was the transportation cost to Bangkok, Thailand?",1000 €
"What was the total budget for the trip to Bangkok, Thailand?",3000.0 € (Transport: 1000 € + Accommodation: 2000 €)
What is the destination of the trip starting on 15/09/2023?,"Barcelona, Spain"
"When did the trip to Barcelona, Spain start?",15/09/2023
"How long was the trip to Barcelona, Spain?",7.0 days
"What nationality was the traveler to Barcelona, Spain?",Spanish
"What type of accommodation was used in Barcelona, Spain?",Airbnb
"How much did the accommodation cost in Barcelona, Spain?",6000 €
"What transportation was used to reach Barcelona, Spain?",Airplane
"What was the transportation cost to Barcelona, Spain?",2500 €
"What was the total budget for the trip to Barcelona, Spain?",8500.0 € (Transport: 2500 € + Accommodation: 6000 €)
What is the destination of the trip starting on 01/10/2023?,"Auckland, New Zealand"
"When did the trip to Auckland, New Zealand start?",01/10/2023
"How long was the trip to Auckland, New Zealand?",7.0 days
"What nationality was the traveler to Auckland, New Zealand?",New Zealander
"What type of accommodation was used in Auckland, New Zealand?",Hotel
"How much did the accommodation cost in Auckland, New Zealand?",7000 €
"What transportation was used to reach Auckland, New Zealand?",Train
"What was the transportation cost to Auckland, New Zealand?",2500 €
"What was the total budget for the trip to Auckland, New Zealand?",9500.0 € (Transport: 2500 € + Accommodation: 7000 €)
What is the average trip duration?,7.6 days
Which destination is the most visited?,Bali
What is the most used transportation type?,Plane
